  Quel âge as-tu ?  ,  Situation actuelle   ,  Domaine d’études ou d’activité ?  ,  Niveau d’études   ,  Sais-tu clairement quel métier tu veux faire ?  ,"À quel point te sens-tu perdu(e) concernant ton avenir professionnel ?
Échelle 1–10  ",  Qu’est-ce qui te bloque le plus ?  ,  As-tu déjà passé un test d’orientation ?  ,  As-tu déjà postulé à un stage / job / alternance ?  ,"Si oui, combien de candidatures envoyées environ ?  ",Taux de réponse reçu ,"  Te sens-tu compétent(e) pour rédiger un CV  :
(échelle 1–5)  ","  Te sens-tu compétent(e) pour  rédiger une lettre de motivation :
(échelle 1–5)  ","Te sens-tu compétent(e) pour  adapter ton CV à une offre :
(échelle 1–5)  ","Te sens-tu compétent(e) pour préparer un entretien :
(échelle 1–5)  ",Qu’est-ce qui te semble le plus difficile ?  ,"Penses-tu comprendre  les compétences recherchées  :
(échelle 1–5)  ","Penses-tu comprendre les salaires dans ton domaine  :
(échelle 1–5)  ","Penses-tu comprendre  les débouchés réels :
(échelle 1–5)  ","Penses-tu comprendre  les évolutions possibles de carrière :
(échelle 1–5)  ",Te sens-tu informé(e) sur les métiers émergents ?,Te sens-tu informé(e) sur  les secteurs qui recrutent ? ,"Serais-tu intéressé(e) par une application qui :
- Analyse ton profil et propose des métiers adaptés
- Génère un CV optimisé automatiquement
- Simule des entretiens personnalisés
- Crée un plan d’apprentissage pour atteindre un métier cible",  Quelle fonctionnalité serait la plus utile ?  ,Paierais-tu 5–10€ par mois pour un compte  Premium qui améliore réellement tes chances ?  ,Pourquoi paierais-tu / ne paierais-tu pas ?  ,"  Si tu pouvais résoudre UN seul problème concernant ton avenir pro, ce serait lequel ?  ",Décris en une phrase ton plus grand stress professionnel actuel.  ,  Utilises-tu actuellement :  ,Qu’est-ce qui manque dans les solutions actuelles ?  ,"Si cette application existait demain, l’utiliserais-tu ?  "
21–23,Étudiant(e),Langues étrangères,BAC+5,"Non, pas du tout",8,"Manque d’information sur les métiers, Peur de faire le mauvais choix, Manque de confiance",NON,Non,Non,Très faible,3,3,3,2,Adapter mon profil aux offres,3,2,2,3,Oui,Non,Très intéressé(e),Analyse ton profil et propose des métiers adaptés combinée avec la génération automatique d’un CV optimisé.,Peut-être,"Donc peut-être, parce que je ne suis pas sûre de l’efficacité réelle, mais en même temps les conseils sont personnalisés et adaptés à mon profil",Savoir exactement quels métiers te correspondent et comment y accéder, Ne pas savoir quel métier choisir ni comment me démarquer pour réussir dans mon domaine après mon Master,ChatGPT,"-Conseils vraiment personnalisés à mon profil - Accompagnement étape par étape : CV, compétences, entretiens.  -Confiance et sécurité pour prendre des décisions sans stress",OUIIIII
24-25,Salarié(e),Data Scientist,BAC+5,"Oui, très clairement",4,"Peur de faire le mauvais choix, Manque de confiance",NON,OUI,50,Moyen,4,3,4,4,Me démarquer,4,5,4,4,Non,Non,Plutôt intéressé(e),amélioration CV,Peut-être,Si c’est vraiment complet pourquoi pas ,Avoir un métier épanouissant ,Manque de concret ,"ChatGPT, LinkedIn, Coach / mentor",rassemblement des outils spécifique à l’emploi,Oui peut-être
+ 25,Salarié(e),Automobile ,BAC+5,"Non, pas du tout",1000,"Manque d’information sur les métiers, Peur de faire le mauvais choix, Manque de confiance, Manque d’expérience",OUI,OUI,2000,Très faible,1,1,1,1,Me démarquer,3,5,5,5,Non,Non,Très intéressé(e),Analyse de compétences et propositions de reconversion en conséquence ,Oui,Parce que c’est vraiment nécessaire j’ai fait des études bullshits et je payerai cher pour trouver ma voie ,L’oseille ,Perdre mon temps dans un travail pas fait pour moi ,"LinkedIn, Coach / mentor",Un plan précis ,OUIIIII
+ 25,Salarié(e),Marketing et Communication,BAC+5,J’ai une idée vague,5,Peur de faire le mauvais choix,NON,OUI,Beaucoup ,Très faible,4,3,4,5,"Trouver des offres pertinentes, Adapter mon profil aux offres, Me démarquer",4,4,3,3,Non,Non,Plutôt intéressé(e),adapter cv au offres le plus rapidement,Non,il faut que ce soit vraiment util e,aigmentation des salaires et difficulté à l'embauche,l'instabilité du marché du travail ,"ChatGPT, LinkedIn",na,Oui peut-être
+ 25,En recherche d’emploi,Droit,Bac +6,J’ai une idée vague,8,"Peur de faire le mauvais choix, Expatriation ",NON,OUI,100aine,Très faible,4,4,5,4,"Passer les entretiens, Me démarquer",5,4,2,5,Non,Non,Très intéressé(e),Adaptation profil/offres,Peut-être,Si c’est utile ,Reconversion,Coût investissement / faible taux de réponses,"ChatGPT, LinkedIn, Indeed",Personnalisation ,Oui peut-être
+ 25,Salarié(e),Marketing,BAC+5,"Oui, très clairement",3,Peur de faire le mauvais choix,OUI,OUI,Une cinquantaine,Très faible,1,3,2,2,Me démarquer,3,2,3,4,Non,Non,Plutôt intéressé(e),Analyser mon profil et proposer des métiers adaptés ,Peut-être,"5€ c’est ok, 10€ too much (payer pour aller travailler c’est une dinguerie en vrai mdrr)",Le manque de visibilité sur ma paye,Que mon cabinet ne me trouve pas de nouvelles missions ,"ChatGPT, LinkedIn, Indeed",Un site qui combine toutes les offres d’emploi ,Oui peut-être
21–23,Salarié(e),maths finance informatique ,BAC+5,J’ai une idée vague,2,"Peur de faire le mauvais choix, Manque d’expérience",NON,OUI,50,Moyen,4,4,4,4,Me démarquer,4,4,4,4,Non,Oui,Peu intéressé(e),la 1ere,Non,J’ai déjà un emploi ,ne pas avoir à retourner au chômage ,être virer ,"ChatGPT, LinkedIn",Je ne sais pzs ,Oui peut-être
24-25,Salarié(e),Data science ,BAC+5,"Oui, très clairement",1,Manque de confiance,NON,OUI,1,Excellent,4,4,4,3,"Passer les entretiens, Me démarquer",4,3,4,4,Oui,Oui,Peu intéressé(e),Génération de CV,Non,Pas besoin,Trouver les meilleurs emolois,Réussir à faire le boulot dans le délai,"ChatGPT, LinkedIn",Rien,Non
24-25,En alternance,data ia,BAC+5,"Oui, très clairement",3,"Peur de faire le mauvais choix, Manque d’expérience",NON,OUI,2000,Moyen,2,3,4,4,"Trouver des offres pertinentes, Adapter mon profil aux offres, Me démarquer, Comprendre ce que recherchent les recruteurs",3,4,4,4,Non,Non,Très intéressé(e),cv optimisé ,Peut-être,si y a une valeur ajoutée ,recrutement ,stress général ,"ChatGPT, LinkedIn",liaison ia et plateforme de jobs,Oui peut-être
21–23,"Étudiant(e), En alternance",Informatique ,BAC+5,J’ai une idée vague,4,La vitesse au quel va le monde ,NON,OUI,200,Très faible,4,2,2,4,Trouver des offres pertinentes,3,3,2,2,Oui,Oui,Plutôt intéressé(e),Les entretiens ,Peut-être,Trop chère ,Expérience ,AI,ChatGPT,La personalisation ,Oui peut-être
24-25,En alternance,Data IA,BAC+5,"Oui, très clairement",7,Manque d’expérience,OUI,OUI,800,Moyen,3,3,4,3,"Adapter mon profil aux offres, Me démarquer, Comprendre ce que recherchent les recruteurs",4,3,2,3,Non,Non,Plutôt intéressé(e),Adapter le CV à l’offre ,Oui,C’est un bon investissement pour un gain de temps ,Trouver le CDO,Trouver un CDI,"ChatGPT, LinkedIn",.,OUIIIII
24-25,"Étudiant(e), En recherche d’emploi",Informatique ,BAC+5,"Oui, très clairement",1,Manque d’expérience,NON,OUI,Centaine ,Moyen,1,1,1,1,Passer les entretiens,1,3,1,1,Non,Non,Très intéressé(e),Simulé des entretiens ,Peut-être,Simuler des entretiens ,Trouver du travail ,Passer les entretiens ,"ChatGPT, LinkedIn, Indeed, Coach / mentor",Rien,Oui peut-être
24-25,Salarié(e),Assurance ,Bac+6,"Oui, très clairement",1,"Manque d’information sur les métiers, Peur de faire le mauvais choix, Manque de confiance",NON,OUI,20,Moyen,3,3,3,3,"Trouver des offres pertinentes, Passer les entretiens, Me démarquer",2,4,3,3,Non,Non,Plutôt intéressé(e),Analyse ton profil et propose des métiers adaptés,Oui,"Si je vois une réelle différence, je pourrais payer",Stabilité ,Incompétence,"ChatGPT, LinkedIn, Indeed",Je sais pas,Oui peut-être
+ 25,"Étudiant(e), En recherche d’emploi",Data/IA,BAC+5,J’ai une idée vague,3,Manque d’expérience,NON,OUI,320,Moyen,1,1,3,1,"Adapter mon profil aux offres, Me démarquer",1,1,2,2,Oui,Oui,Plutôt intéressé(e),Un truc sur les Cv,Peut-être,Pour atteindre mon objectif ,Avoir des facilités pour trouver du travail ,La préfecture ,LinkedIn,Je ne sais pas ,OUIIIII
21–23,En alternance,Data ia ,BAC+5,"Non, pas du tout",5,"Peur de faire le mauvais choix, Manque de confiance",NON,OUI,30,Très faible,5,5,5,3,Adapter mon profil aux offres,3,4,3,3,Non,Non,Très intéressé(e),Génère un cv ,Peut-être,Si c'est efficace je paye ,La rédaction de mon cv ,Faire le mauvais choix professionnel ,"ChatGPT, LinkedIn, Indeed",Quelque chose de + personnalisé ,Oui peut-être
+ 25,"En alternance, En reconversion",Data et IA,BAC+5,"Oui, très clairement",7,Manque d’expérience,NON,OUI,30,Moyen,1,1,1,1,Passer les entretiens,1,1,2,2,"Oui, Non","Oui, Non",Plutôt intéressé(e),- Simulation des entretiens personnalisés,Oui,Un paiement unique pour préparer un entretien ponctuel,Je ne sais pas ,Multiplication de techno et de compétences demandées ,"ChatGPT, LinkedIn",Personalization au profil,Oui peut-être
21–23,En alternance,Data & AI,BAC+5,"Oui, très clairement",6,Manque d’expérience,NON,OUI,700,Moyen,4,4,4,4,Adapter mon profil aux offres,3,3,2,2,Oui,Oui,Très intéressé(e),CV Gen,Peut-être,La valeur ajoute contrairement a d autres solutions?,.,.,"LinkedIn, Indeed",Je ne sais pas,Oui peut-être
+ 25,"Étudiant(e), En alternance",Data,BAC+5,J’ai une idée vague,4,"Manque d’information sur les métiers, Manque d’expérience",NON,OUI,Entre 10 et 20,Très faible,3,3,3,4,"Passer les entretiens, Me démarquer",3,4,4,4,Non,Non,Plutôt intéressé(e),Créer un plan d'apprentissage pour atteindre un métier cible,Non,Représente un petit cout,Choisir un métier,Trouver un CDI à la fin des études,"ChatGPT, Indeed, Welcome to the jungle, JobTeaser",?,Oui peut-être
24-25,En recherche d’emploi,École de commerce ,BAC+5,J’ai une idée vague,5,"Peur de faire le mauvais choix, Manque de confiance, Pression familiale, Manque d’expérience",OUI,OUI,100,Moyen,1,3,2,1,"Passer les entretiens, Me démarquer",2,3,3,2,Non,Non,Très intéressé(e),Cv,Peut-être,Étudiante et ou au chômage ,Devenir un homme pour plus être prit au sérieux ,Ne pas trouver car avoir l’étiquette sur des postes commercial en tant que « jeune femme diplômée sans expérience »,"ChatGPT, LinkedIn, Indeed",Trop de concurrences sur les offres ,OUIIIII
21–23,En recherche d’emploi,Mode,BAC+3,"Oui, très clairement, J’ai une idée vague",3,"Manque de confiance, Manque d’expérience",OUI,OUI,50,Très faible,1,1,1,2,"Trouver des offres pertinentes, Me démarquer",1,3,3,3,Non,Non,Très intéressé(e),La première ,Peut-être,À voir si les offres sont pertinentes ,L’anglais ,L’anglais ,"ChatGPT, LinkedIn, Indeed",Je ne sais pas ,Oui peut-être
24-25,Salarié(e),Maths Info Appliqués,BAC+3,"Oui, très clairement",9,"Peur de faire le mauvais choix, Manque d’expérience",NON,OUI,Près d’une 60taine environ,Très faible,2,3,3,3,"Trouver des offres pertinentes, Passer les entretiens",2,1,4,4,Non,Non,Peu intéressé(e),Simuler des entretiens (la pratique est importante),Non,Pas de besoin réel actuels,Réunir des informations sur les tenants et les aboutissants du métier,Peur de refaire des erreurs qui peuvent être sanctionnées par l’état ,ChatGPT,Un accompagnement ?,Non
+ 25,En recherche d’emploi,DATA SCIENCE,BAC+5,"Oui, très clairement",1,Manque d’expérience,NON,OUI,200,Bon,5,5,5,5,Comprendre ce que recherchent les recruteurs,5,5,5,5,Oui,Oui,Très intéressé(e),RIEN,Non,je suis deja bon,trouver du taf,trouver du travail et changer de statut,"ChatGPT, LinkedIn, Indeed",rien,Oui peut-être
24-25,Salarié(e),Data Science ,BAC+5,"Non, pas du tout",8,"Manque d’information sur les métiers, Peur de faire le mauvais choix, Manque de confiance, Manque d’expérience",NON,OUI,200,Très faible,3,4,3,3,"Passer les entretiens, Comprendre ce que recherchent les recruteurs",4,3,5,3,Non,Non,Plutôt intéressé(e),Le CV,Peut-être,Pertinence de l’application ,Manque de visibilité sur l’avenir ,être enfermé dans une branche ,"ChatGPT, LinkedIn, Indeed",Personnalisation ,OUIIIII
21–23,Salarié(e),IA,BAC+5,"Oui, très clairement",2,Manque d’expérience,NON,OUI,50,Très faible,1,2,1,2,"Trouver des offres pertinentes, Me démarquer",2,3,1,2,Oui,Oui,Plutôt intéressé(e),Proposition métier et préparation entretien,Oui,Rentable si vraie valeur ajoutée comparé à sans,Le manque d'égalité des chances mais difficile,Le manque d'offre,"ChatGPT, LinkedIn, Indeed, Coach / mentor",Manque de resultat concret,Oui peut-être
21–23,Salarié(e),Data science,BAC+5,"Oui, très clairement",6,"Évolution trop rapide du métier, les besoin évolue et on est pas formé pour ",OUI,OUI,"10 par la, coup de chance ",Moyen,3,4,3,2,Trouver des offres pertinentes,3,3,3,2,Non,Non,Pas intéressé(e),"Adapter un cv à un offre mais avec de la créativité qui permet de se démarquer, mais honnêtement sa me semble tellement intéressant que fait par un humain sinon risque de devenir trop générique ",Non,Je paierai si j’avais en plus une mise en contacte avec des recruteurs,L’aspect juridique on en parle pas assez,"Être junior en 2026 c’est être très remplaçable, il faut beaucoup de chance pour atterrir direct là où on le souhaite vrm","ChatGPT, LinkedIn, Cvdesignr","Tout lol? Ok on ose pas donner une qualité parce que on maîtrise pas entièrement un sujet, faire des mini session qui t’apprend ce qu’il faut pour ajouter une compétence et être capable d’en discuter en entretien et pratiquer le minimum. On a l’air plus compétent puis si on est retenu sur une offre on aura qu’à essayer de se former un peu à l’arrache avant le job et apprendre sur le tas. Pas attendre d’avoir la compétence avant de le mettre en avant sa marche.",Non
21–23,Salarié(e),"Conseil CRM, Data & Digital",BAC+5,J’ai une idée vague,2,Manque d’expérience,NON,OUI,Une centaine,Très faible,1,1,1,3,"Passer les entretiens, Me démarquer",2,2,2,2,Non,Non,Très intéressé(e),La génération automatique d’un CV optimisé et la simulation d’entretiens personnalisés pour mieux se préparer aux recrutements.,Oui,Parce que ça me ferait gagner du temps et augmenterait mes chances de décrocher un entretien (CV optimisé + entraînement aux questions).,"Trouver clairement le métier qui me correspond et un plan concret pour y accéder. J’apprends celui que je fais actuellement. À voir si avec le temps, j’aimerais ce que je fais.",Avoir peur de perdre du temps sur la mauvaise direction.,"ChatGPT, LinkedIn",Je sais pas trop ,OUIIIII
24-25,En recherche d’emploi,mathématiques appliquées ,BAC+5,"Oui, très clairement, J’ai une idée vague",6,"Peur de faire le mauvais choix, Manque de confiance, Manque d’expérience",OUI,OUI,50,Très faible,5,5,5,3,"Passer les entretiens, Me démarquer",4,4,4,3,Non,Oui,Plutôt intéressé(e),entretien,Peut-être,si ça permet vraiment de se démarquer je suis prêt à payer.,la difficulté à trouver ses premières expériences pro.,ne pas trouver un travail dans lequel je suis épanoui.,"ChatGPT, LinkedIn, Indeed",je ne sais pas,Oui peut-être
24-25,En recherche d’emploi,Data / IA,BAC+5,"Oui, très clairement",8,Peur de faire le mauvais choix,NON,OUI,600+,Très faible,4,4,4,4,"Adapter mon profil aux offres, Me démarquer, Comprendre ce que recherchent les recruteurs",4,5,4,4,Oui,Oui,Très intéressé(e),Adapter le cv a chaque offre,Peut-être,Postuler et faire la prospection prend énormément de temps donc si ça vaut le coup et que ça va faire le travail à ma place pendant que moi je prépare mes entretiens tranquille c'est top,Trouver une premier job,Ne pas arriver à avoir des entretiens,"ChatGPT, LinkedIn",L'automatisation de taches repetitives,OUIIIII
24-25,Étudiant(e),Data science,BAC+5,J’ai une idée vague,1,Manque d’expérience,NON,OUI,Plus de 100,Très faible,2,2,2,2,Me démarquer,3,4,2,3,Oui,Oui,Plutôt intéressé(e),Crée un plan d’apprentissage pour atteindre un métier cible,Peut-être,Je paierai probablement si je vois que cela me permet d'obtenir les qualifications requises pour les offres d'emplois,Aucune idée,Aucun,"LinkedIn, Gemini",Des retours sur pourquoi on n'est pas sélectionné,Oui peut-être
21–23,"Étudiant(e), En alternance",Data,BAC+5,J’ai une idée vague,7,"Peur de faire le mauvais choix, Manque de confiance, Pression familiale, Manque d’expérience",NON,OUI,50,Très faible,2,3,4,4,"Passer les entretiens, Me démarquer",4,5,5,5,Non,Non,Très intéressé(e),Analyse de profils ,Peut-être,Par peur que le site ne soit pas assez fonctionnel,Connaître un métier niche,Ne pas trouver de cdi ,"ChatGPT, LinkedIn",Une analyse plus personnelle ,OUIIIII
